osm_id,place,plz,landkreis,bundesland,nuts3,nuts2,nuts1
421952,Emmerzhausen,57520,Landkreis Altenkirchen,Rheinland-Pfalz,DEB33,DEB3,DEB
1231982,Emmingen-Liptingen,78576,Landkreis Tuttlingen,Baden-Württemberg,DEB33,DEB3,DEB
2900132,Empfertshausen,36452,Wartburgkreis,Thüringen,DEG0P,DEG0,DEG
935840,Empfingen,72186,Landkreis Freudenstadt,Baden-Württemberg,DEB33,DEB3,DEB
1075656,Emsbüren,48488,Landkreis Emsland,Niedersachsen,DEB33,DEB3,DEB
155714,Emsdetten,48282,Kreis Steinfurt,Nordrhein-Westfalen,DEA14,DEA1,DEA
357028,Emskirchen,91448,Landkreis Neustadt an der Aisch-Bad Windsheim,Bayern,DEB33,DEB3,DEB
1109687,Emstek,49685,Landkreis Cloppenburg,Niedersachsen,DEB33,DEB3,DEB
1292743,Emtinghausen,27321,Landkreis Verden,Niedersachsen,DEB33,DEB3,DEB
1070998,Emtmannsberg,95517,Landkreis Bayreuth,Bayern,DEB33,DEB3,DEB
1124262,Endingen,79346,Landkreis Emmendingen,Baden-Württemberg,DEB33,DEB3,DEB
540450,Endlichhofen,56355,Rhein-Lahn-Kreis,Rheinland-Pfalz,DEB1A,DEB1,DEB
2506805,Endschütz,7570,Landkreis Greiz,Thüringen,DEB33,DEB3,DEB
2012816,Engden,48465,Landkreis Grafschaft Bentheim,Niedersachsen,DEB33,DEB3,DEB
447192,Engelbrechtsche Wildnis,25348,Kreis Steinburg,Schleswig-Holstein,DEA14,DEA1,DEA
941604,Engelsberg,84549,Landkreis Traunstein,Bayern,DEB33,DEB3,DEB
57996,Engelsbrand,75331,Enzkreis,Baden-Württemberg,DE12B,DE12,DE1
444947,Engelschoff,21710,Landkreis Stade,Niedersachsen,DEB33,DEB3,DEB
173854,Engelskirchen,51766,Oberbergischer Kreis,Nordrhein-Westfalen,DEA2A,DEA2,DEA
1245799,Engelstadt,55270,Landkreis Mainz-Bingen,Rheinland-Pfalz,DEB33,DEB3,DEB
966156,Engelthal,91238,Landkreis Nürnberger Land,Bayern,DEB33,DEB3,DEB
1104293,Engen,78234,Landkreis Konstanz,Baden-Württemberg,DEB33,DEB3,DEB
147441,Enger,32130,Kreis Herford,Nordrhein-Westfalen,DEA14,DEA1,DEA
1416962,Enge-Sande,25917,Kreis Nordfriesland,Schleswig-Holstein,DEA14,DEA1,DEA
2773169,Engstingen,72829,Landkreis Reutlingen,Baden-Württemberg,DEB33,DEB3,DEB
2772632,Eningen unter Achalm,72800,Landkreis Reutlingen,Baden-Württemberg,DEB33,DEB3,DEB
1186706,Enkenbach-Alsenborn,67677,Landkreis Kaiserslautern,Rheinland-Pfalz,DEB33,DEB3,DEB
1261695,Enkirch,56850,Landkreis Bernkastel-Wittlich,Rheinland-Pfalz,DEB33,DEB3,DEB
